id,year,appendix,taxon,class,ord,family,genus,term,quantity,unit,importer,exporter,origin,purpose,source,reporter_type,import_permit_randomid,export_permit_randomid,origin_permit_randomid
7856056,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,350,"",MX,SG,MY,T,W,E,"",0328ed57d1,""
7856057,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,900,"",JP,SG,MY,T,W,E,"",fa596816e9,""
7856058,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,500,"",JP,SG,MY,T,W,E,"",847aa3c76e,""
7856059,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,500,"",JP,SG,MY,T,W,E,"",84f8c7d600,""
7856060,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,920,"",JP,SG,MY,T,W,E,"",885498a7f1,""
7856061,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,800,"",JP,SG,MY,T,W,E,"",f6f8b8fd9e,""
7856062,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,20,"",JP,SG,MY,T,W,E,"",1c87daf6e9,""
7856063,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,632,"",JP,SG,MY,T,W,E,"",0acc197964,""
7856064,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,368,"",JP,SG,MY,T,W,E,"",0acc197964,""
7856065,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,245,"",JP,SG,MY,T,W,E,"",ec5ed545a7,""
7856066,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,555,"",JP,SG,MY,T,W,E,"",ec5ed545a7,""
7856067,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,600,"",MX,SG,MY,T,W,E,"",1a694537b3,""
7856068,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,900,"",JP,SG,MY,T,W,E,"",667dff1758,""
7856069,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,752,"",JP,SG,MY,T,W,E,"",e46ea70a3e,""
7856070,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,248,"",JP,SG,MY,T,W,E,"",e46ea70a3e,""
7855960,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,150,"",US,MX,LA,T,W,E,"",f7020114bf,""
7855961,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,300,"",MX,LA,"",T,W,I,"",2b592eb2f9,""
7855962,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,300,"",MX,LA,"",T,W,I,"",7593d097b1,""
7855963,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,300,"",MX,LA,"",T,W,I,"",d4d474f1cd,""
7855964,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,300,"",MX,LA,"",T,W,I,"",577d2b4722,""
7855965,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,300,"",MX,LA,"",T,W,I,"",a34fa3e24b,""
7855966,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,300,"",MX,LA,"",T,W,I,"",a6feefee03,""
7855967,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,200,"",MX,SG,MY,T,W,I,"",5ff8baf502,""
