App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
II,Manis javanica,specimens,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,9,,2,13,,,,,,,2,2,,
II,Manis pentadactyla,bodies,,DK,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bodies,,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
II,Manis pentadactyla,bodies,,MO,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bodies,,NZ,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bodies,,SG,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bodies,,US,,,,,,,,1,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bone pieces,,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,claws,,QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
II,Manis pentadactyla,derivatives,boxes,CU,,,,,,,,,,,,,,,,,,2030,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,BE,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,BG,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,CA,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,GA,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,HK,,,,,,,,,,,,,,,,834,1457,347,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,IT,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,MO,,,,,,,,,,,,,,,,123,205,385,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,MY,,,,,,,,,,,,,,,,591,680,5,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,PA,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,PH,,,,,,,,,,,,,,,,10,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,SG,,,,,,,,,,,,,,,,50,160,200,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,SU,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,g,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,610,,,,,,,,
II,Manis pentadactyla,derivatives,kg,US,,,,,,,,,,,,,,,,,,,,,,6,1,500,,,,,,,,,,,,1,,,,,,,,
II,Manis pentadactyla,derivatives,,HK,,,,,,,,,,,,,,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,
